"lang"
{
	"Language"	"Turkish"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_wave_damage"                            "DALGA HASARI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_targeted_firestorms_damage_pct"                             "%HASAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_cast_point"                                     "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_radius"                                         "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_impact_count"                                   "ETKİ SAYISI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_start_distance"                                 "BAŞLANGIÇ MESAFESİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_spacing"                                        "BOŞLUK:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_impact_stagger"                                 "ETKİ STAGGER:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_wave_damage"                                    "DALGA HASARI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_damage_pct"                                     "%HASAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_slow_duration"                                  "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_movement_slow"                                  "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_fel_fissure_attack_slow"                                    "SALDIRI YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_cast_point"                                  "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_radius"                                      "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_inner_ring_radius"                           "İÇ HALKA YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_ring_spacing"                                "HALKA ARALIĞI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_ring_count"                                  "ZİL SAYISI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_ring_arc_spacing"                            "HALKA ARK BOŞLUĞU:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_impact_stagger"                              "ETKİ STAGGER:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_wave_damage"                                 "DALGA HASARI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_damage_pct"                                  "%HASAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_root_duration"                               "KÖK SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_infernal_rings_linger_duration"                             "OYALANMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_demonic_howl_cast_point"                                    "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_demonic_howl_radius"                                        "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_magtheridon_demonic_howl_duration"                                      "SÜRE:"
		"DOTA_Tooltip_ability_xhs_magtheridon_demonic_howl_movement_slow"                                 "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_demonic_howl_attack_slow"                                   "SALDIRI YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_demonic_howl_damage_reduction_pct"                          "% HASAR AZALTILMASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_cast_point"                                         "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_line_count"                                         "HAT SAYISI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_line_length"                                        "HAT UZUNLUĞU:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_line_spread_degrees"                                "HAT YAYILMA DERECELERİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_segment_spacing"                                    "BÖLÜM ARALIĞI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_start_distance"                                     "BAŞLANGIÇ MESAFESİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_node_radius"                                        "DÜĞÜM YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_damage"                                             "HASAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_slow_duration"                                      "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_visual_delay"                                       "GÖRSEL GECİKME:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_movement_slow"                                      "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_attack_slow"                                        "SALDIRI YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_reincarnate_time"                                   "REENKARNASYON ZAMANI:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_medium_fragments"                                   "ORTA PARÇALAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_small_fragments"                                    "KÜÇÜK PARÇALAR:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_empower_fragments_per_stack"                        "Yığın başına PARÇALARI GÜÇLENDİRİN:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_max_empower_stacks"                                 "MAX GÜÇLENDİRME YÜKLERİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_empower_duration"                                   "GÜÇLENDİRME SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_damage_per_stack"                                   "Yığın Başına Hasar:"
		"DOTA_Tooltip_ability_xhs_magtheridon_rupture_armor_per_stack"                                    "Yığın Başına Zırh:"
		"DOTA_Tooltip_ability_xhs_balanar_nightfall_cast_point"                                           "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_balanar_dread_howl_cast_point"                                          "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_balanar_sleeping_terror_cast_point"                                     "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_balanar_carrion_swarm_cast_point"                                       "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_time_between_meteors"                             "METEORLAR ARASINDAKİ ZAMAN:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_unit_per_meteor"                                  "METEOR BAŞINA BİRİM:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_seek_radius"                                      "YARIÇAP ARAYIN:"
		"DOTA_Tooltip_ability_xhs_balanar_rain_of_chaos_cast_point"                                       "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_radius"                                     "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_damage"                                     "HASAR:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_duration"                                   "SÜRE:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_bonus_armor"                                "BONUS ZIRH:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_bonus_damage_pct"                           "%BONUS HASAR:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_strike_count"                               "GREV SAYISI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_strike_delay"                               "VURUŞ GECİKMESİ:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_strike_radius"                              "VURUŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_strike_damage"                              "VURUŞ HASARI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_admirals_command_cast_point"                                 "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_length"                                         "UZUNLUK:"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_width"                                          "GENİŞLİK:"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_damage"                                         "HASAR:"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_torrent_stun_duration"                          "sel sersemletme süresi:"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_torrent_slow_duration"                          "TORRENT YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_torrent_slow_pct"                               "%TORRENT YAVAŞ:"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_torrent_height"                                 "TOPRAK YÜKSEKLİĞİ:"
		"DOTA_Tooltip_ability_xhs_proudmoore_torrent_line_cast_point"                                     "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_broadside_point_count"                                       "PUAN SAYISI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_broadside_strike_delay"                                      "VURUŞ GECİKMESİ:"
		"DOTA_Tooltip_ability_xhs_proudmoore_broadside_radius"                                            "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_proudmoore_broadside_damage"                                            "HASAR:"
		"DOTA_Tooltip_ability_xhs_proudmoore_broadside_cast_point"                                        "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_anchor_smash_radius"                                         "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_proudmoore_anchor_smash_damage"                                         "HASAR:"
		"DOTA_Tooltip_ability_xhs_proudmoore_anchor_smash_slow_duration"                                  "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_proudmoore_anchor_smash_slow_pct"                                       "%YAVAŞ:"
		"DOTA_Tooltip_ability_xhs_proudmoore_anchor_smash_attack_slow"                                    "SALDIRI YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_anchor_smash_cast_point"                                     "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_focus_fire_radius"                                           "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_proudmoore_focus_fire_damage"                                           "HASAR:"
		"DOTA_Tooltip_ability_xhs_proudmoore_focus_fire_cast_point"                                       "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_proudmoore_command_aura_armor"                                          "ZIRH:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_thresholds"                                     "EŞİKLER:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_soul_cap"                                       "RUH KAPAĞI:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_sindragosa_soul_cost"                           "SİNDRAGOSA RUH MALİYETİ:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_bonus_lane_soul_cost"                           "BONUS ŞERİT RUH BEDELİ:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_max_bonus_lanes"                                "MAX BONUS ŞERİTLERİ:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_frostbite_duration"                             "DONMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_frostbite_cap"                                  "DONMA KAPAĞI:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_frostbite_move_slow_pct"                        "%FROSTBITE HAREKET YAVAŞLATMA:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_frostbite_attack_slow"                          "DONMA SALDIRISI YAVAŞLATMA:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_frostbite_hunger_damage_pct"                    "%FROSTBITE AÇLIK HASARI:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_soul_damage_pct"                                "%RUH HASARI:"
		"DOTA_Tooltip_ability_xhs_lich_king_frozen_throne_soul_armor"                                     "RUH ZIRHI:"
		"DOTA_Tooltip_ability_xhs_lich_king_remorseless_winter_damage"                                    "HASAR:"
		"DOTA_Tooltip_ability_xhs_lich_king_remorseless_winter_radius"                                    "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_lich_king_remorseless_winter_slow_duration"                             "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_lich_king_remorseless_winter_buff_duration"                             "GÜÇLENDİRME SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_lich_king_remorseless_winter_cast_point"                                "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_lich_king_frostmourne_hunger_damage"                                    "HASAR:"
		"DOTA_Tooltip_ability_xhs_lich_king_frostmourne_hunger_radius"                                    "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_lich_king_frostmourne_hunger_heal_pct"                                  "% İYİLEŞME:"
		"DOTA_Tooltip_ability_xhs_lich_king_frostmourne_hunger_slow_duration"                             "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_xhs_lich_king_frostmourne_hunger_cast_point"                                "DÖNÜŞ NOKTASI:"
		"DOTA_Tooltip_ability_xhs_lich_king_howling_blast_damage"                                         "HASAR:"
		"DOTA_Tooltip_ability_xhs_lich_king_howling_blast_radius"                                         "YARIÇAP:"
		"DOTA_Tooltip_ability_xhs_lich_king_howling_blast_spacing"                                        "BOŞLUK:"
