"lang"
{
	"Language"	"Vietnamese"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_radius"                                            "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_stun_duration"                                     "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_time_between_meteors"                              "THỜI GIAN GIỮA CÁC TINH THẦN:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_meteors_per_tick"                                  "Thiên thạch mỗi lần:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_radius_explosion"                                  "Bán kính thiên thạch:"
		"DOTA_Tooltip_ability_holdout_evasion"                                                            "Trốn tránh"
		"DOTA_Tooltip_ability_holdout_evasion_Description"                                                "Dryad tập trung vào bên trong, tăng khả năng né tránh đòn tấn công của kẻ thù.\n\nCộng dồn giảm dần với các nguồn Né tránh khác."
		"DOTA_Tooltip_ability_holdout_evasion_SummaryDescription"                                         "Tạo cơ hội né tránh các đòn tấn công sắp tới."
		"DOTA_Tooltip_ability_holdout_evasion_Lore"                                                       "Việc thiền định của Chị Em Che Mạng cho phép cô ấy lường trước nguy hiểm trước khi nó ập đến."
		"DOTA_Tooltip_ability_holdout_evasion_bonus_evasion"                                              "% TRÁNH:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows"                                                    "Chia cú sút"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_Description"                                        "Chia mỗi đòn tấn công về phía kẻ địch ở gần.Mũi tên phụ gây giảm sát thương tấn công và áp dụng Tấn công độc, nhưng không kích hoạt các hiệu ứng tấn công khác."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_SummaryDescription"                                 "Tấn công thêm kẻ thù bằng những mũi tên giảm sát thương."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_Lore"                                               "Một mũi tên đầy mê hoặc sẽ trở thành một cú vô lê chết người trong tay Dryad."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_Note0"                                              "Mũi tên phụ ưu tiên kẻ thù gần nhất và loại trừ mục tiêu chính."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_Note1"                                              "Ảo ảnh của Dryad cũng kế thừa Split Shot."
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_damage_modifier_tooltip"                            "% THIỆT HẠI ĐI:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_arrow_count"                                        "MỤC TIÊU BỔ SUNG:"
		"DOTA_Tooltip_ability_holdout_poison_attack"                                                      "Tấn công bằng chất độc"
		"DOTA_Tooltip_ability_holdout_poison_attack_Description"                                          "Đòn tấn công của Dryad đầu độc kẻ địch, gây sát thương phép thuật theo thời gian.Các mũi tên phụ của Split Shot cũng có tác dụng độc."
		"DOTA_Tooltip_ability_holdout_poison_attack_SummaryDescription"                                   "Tấn công kẻ địch bằng sát thương phép thuật theo thời gian."
		"DOTA_Tooltip_ability_holdout_poison_attack_duration"                                             "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_poison_attack_damage"                                               "SÁT THƯƠNG MỖI GIÂY:"
		"DOTA_Tooltip_modifier_poison_attack_debuff"                                                      "Tấn công bằng chất độc"
		"DOTA_Tooltip_modifier_poison_attack_debuff_Description"                                          "Nhận sát thương phép thuật theo thời gian."
		"DOTA_Tooltip_ability_holdout_critical_arrows"                                                    "Mũi tên chí mạng"
		"DOTA_Tooltip_ability_holdout_critical_arrows_Description"                                        "Các đòn tấn công chính của Dryad có cơ hội gây sát thương chí mạng."
		"DOTA_Tooltip_ability_holdout_critical_arrows_SummaryDescription"                                 "Các đòn tấn công chính có thể gây sát thương chí mạng."
		"DOTA_Tooltip_ability_holdout_critical_arrows_crit_bonus"                                         "% THIỆT HẠI QUAN TRỌNG:"
		"DOTA_Tooltip_ability_holdout_critical_arrows_crit_chance"                                        "% CƠ HỘI TIÊU BIỂU:"
		"DOTA_Tooltip_ability_holdout_endurance_aura"                                                     "Hào quang sức bền"
		"DOTA_Tooltip_ability_holdout_endurance_aura_Description"                                         "Tăng tốc độ di chuyển và giảm thời gian tấn công cơ bản của các anh hùng đồng minh ở gần."
		"DOTA_Tooltip_ability_holdout_endurance_aura_SummaryDescription"                                  "Các anh hùng đồng minh gần đó di chuyển và tấn công nhanh hơn."
		"DOTA_Tooltip_ability_holdout_endurance_aura_Note0"                                               "Cộng dồn với hào quang thần thánh."
		"DOTA_Tooltip_ability_holdout_endurance_aura_bat_reduction"                                       "GIẢM BAT:"
		"DOTA_Tooltip_ability_holdout_endurance_aura_radius"                                              "BÁN KÍNH:"
		"DOTA_Tooltip_ability_xhs_trueshot_aura"                                                          "Hào quang chân thực"
		"DOTA_Tooltip_ability_xhs_trueshot_aura_Description"                                              "Tăng thêm sát thương tấn công cho các anh hùng tầm xa của đồng minh dựa trên sự nhanh nhẹn của Dryad."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_SummaryDescription"                                       "Sự nhanh nhẹn của Dryad tăng sát thương tấn công của các anh hùng tầm xa đồng minh."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_Lore"                                                     "Quá trình huấn luyện trong rừng của Dryad mài giũa mục tiêu của mọi cung thủ bên cạnh cô."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_trueshot_ranged_damage"                                   "% ĐỘ NHAN DRYAD NHƯ SỰ THIỆT HẠI:"
		"DOTA_Tooltip_ability_xhs_trueshot_aura_alt"                                                      "Hào quang chân thực"
		"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_Description"                                          "Tăng thêm sát thương cho đòn tấn công vật lý của các đơn vị anh hùng tầm xa, đồng minh trên bản đồ dựa trên phần trăm sự nhanh nhẹn của Tyrande."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_Lore"                                                 "Thời gian Tyrande ở một mình trong khu rừng tại ngôi nhà Ánh sáng của cô đã cho phép cô dạy các cung thủ khác cách cải thiện kỹ năng Mũi tên của họ."
		"DOTA_Tooltip_ability_xhs_trueshot_aura_alt_trueshot_ranged_damage"                               "THƯỞNG % THIỆT HẠI PHẠM VI:"
		"DOTA_Tooltip_ability_holdout_owl_lightning"                                                      "cú sét"
		"DOTA_Tooltip_ability_holdout_owl_lightning_Description"                                          "Gây sát thương cho kẻ địch nhảy từng bước với độ trễ."
		"DOTA_Tooltip_ability_holdout_owl_lightning_jump_count"                                           "MỤC TIÊU:"
		"DOTA_Tooltip_ability_holdout_owl_lightning_radius"                                               "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_owl_lightning_jump_delay"                                           "TRÌ HOÃN NHẢY:"
		"DOTA_Tooltip_ability_holdout_forked_lightning"                                                   "Tia sét rẽ nhánh"
		"DOTA_Tooltip_ability_holdout_forked_lightning_Description"                                       "Gây sát thương cho một số kẻ thù cùng lúc xung quanh mục tiêu."
		"DOTA_Tooltip_ability_holdout_forked_lightning_end_radius"                                        "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_targets"                                           "MỤC TIÊU:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_damage"                                            "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_command_aura"                                                       "Hào quang chỉ huy"
		"DOTA_Tooltip_ability_holdout_command_aura_Description"                                           "Tăng tỷ lệ sát thương của các đồng minh ở gần."
		"DOTA_Tooltip_ability_holdout_command_aura_bonus_damage_percentage"                               "% THIỆT HẠI THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_command_aura_radius"                                                "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_elunes_grace"                                                       "Ân điển của Elune"
		"DOTA_Tooltip_ability_holdout_elunes_grace_Description"                                           "Giảm lượng sát thương nhận được từ mọi nguồn (không bao gồm sát thương thuần túy), tăng tốc độ di chuyển và tốc độ tấn công."
		"DOTA_Tooltip_ability_holdout_elunes_grace_damage_reduction"                                      "GIẢM % THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_elunes_grace_movement_speed_percentage"                             "% TỐC ĐỘ CHUYỂN ĐỘNG:"
		"DOTA_Tooltip_ability_holdout_elunes_grace_bat_reduction"                                         "GIẢM BAT:"
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive"                                                "Glaive mặt trăng"
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_Description"                                    "Các đòn tấn công của Huntress nảy lên nhiều kẻ thù."
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_range"                                          "PHẠM VI:"
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_bounces"                                        "TRẢ LẠI:"
		"DOTA_Tooltip_ability_holdout_innate_lunar_glaive_damage_reduction_percent"                       "GIẢM % THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_moon_explosion"                                                     "vụ nổ mặt trăng"
		"DOTA_Tooltip_ability_holdout_moon_explosion_Description"                                         "Gọi ra các vụ nổ Mặt Trăng, gây sát thương lớn cho kẻ địch ở gần."
		"DOTA_Tooltip_ability_holdout_moon_explosion_radius"                                              "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_beam_interval"                                       "KHOẢNG CÁCH CHÙM:"
